,Subject,max_dice_diff,max_start,max_end,estimated_dice_origin
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/211,211,0.002488891,33,44,0.992669381
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/223,223,0.003811698,38,47,0.990181526
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/258,258,0.002049549,53,64,0.993573319
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/184,184,0.005371914,21,35,0.98302671
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/87,87,0.007100064,14,24,0.982933463
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/135,135,0.004753978,20,35,0.988926268
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/54,54,0.003580777,45,57,0.989012395
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/201,201,0.002538148,50,63,0.991479641
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/150,150,0.003876957,46,58,0.987777086
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/91,91,0.003868858,32,45,0.989960157
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/37,37,0.003162419,34,47,0.990047007
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/260,260,0.0026763,34,44,0.991041175
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/189,189,0.003495739,31,44,0.990484503
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/222,222,0.012702464,42,51,0.975137331
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/225,225,0.006468564,25,33,0.985050925
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/209,209,0.003811742,55,68,0.990165029
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/45,45,0.007065001,48,60,0.982086185
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/191,191,0.002462075,6,16,0.990998002
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/133,133,0.006657849,20,28,0.982311258
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/165,165,0.005901077,37,46,0.987113534
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/197,197,0.010010589,13,21,0.97329169
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/198,198,0.009194203,14,24,0.981623545
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/203,203,0.007608063,42,52,0.982767328
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/40,40,0.002425934,32,42,0.991220079
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/172,172,0.003392797,20,33,0.990688949
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/180,180,0.004597938,30,38,0.988822434
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/81,81,0.004667832,24,33,0.988883477
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/205,205,0.003552164,42,54,0.990821713
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/234,234,0.003762865,43,51,0.990371093
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/83,83,0.004192538,49,61,0.98695232
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/104,104,0.00373378,36,46,0.988204087
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/59,59,0.004802829,34,49,0.987568335
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/21,21,0.002516428,33,42,0.992328695
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/32,32,0.004715108,34,48,0.986202583
/home/bella/Phd/code/code_bella/log/807/output/tta_res_0/test/26,26,0.007131332,25,33,0.981888637
